scenario,K,tier,cook,rider_wait,street,walk,ev_wait,ride,service,t_e2e_mean,pre_building_sec,in_building_sec,in_building_share,wage_sum_krw_per_h
K50_1,50,primary,1032.0,0.0,374.32,17.62,22.98,21.94,126.0,1594.86,1406.32,188.54,0.1182,410000.0
K50_2,50,primary,1008.0,0.0,413.36,17.62,19.14,20.94,128.4,1607.46,1421.36,186.1,0.1158,412500.0
K100_1,100,primary,1095.0,0.0,387.29,17.23,19.54,22.47,123.0,1664.53,1482.29,182.24,0.1095,810000.0
K100_2,100,primary,1044.0,0.0,373.16,17.23,22.67,23.09,123.0,1603.15,1417.16,185.99,0.116,810000.0
K100_3,100,primary,873.0,0.0,253.01,17.23,20.41,23.29,121.8,1308.74,1126.01,182.73,0.1396,1100000.0
K100_4,100,primary,921.0,0.0,240.14,17.23,21.69,22.78,123.6,1346.44,1161.14,185.3,0.1376,1100000.0
K100_5,100,primary,972.0,0.0,219.52,17.23,21.3,21.56,120.0,1371.61,1191.52,180.09,0.1313,1100000.0
K100_6,100,primary,894.0,0.0,249.33,17.23,23.62,23.02,123.0,1330.2,1143.33,186.87,0.1405,1100000.0
K100_7,100,primary,1176.0,0.0,317.7,17.23,19.67,22.25,123.0,1675.85,1493.7,182.15,0.1087,1100000.0
K100_8,100,primary,1050.0,0.0,384.07,17.23,20.62,23.01,126.6,1621.53,1434.07,187.46,0.1156,1100000.0
K100_9,100,primary,1095.0,0.0,380.27,17.23,20.1,22.96,124.2,1659.76,1475.27,184.49,0.1112,1180000.0
K200_1,200,primary,1003.5,0.0,409.18,16.89,28.46,23.88,124.2,1606.1,1412.68,193.42,0.1204,1628000.0
K200_2,200,primary,1077.0,0.0,370.74,16.89,25.16,23.66,120.9,1634.35,1447.74,186.62,0.1142,1604500.0
K200_3,200,primary,1014.0,0.0,257.3,16.89,26.92,23.9,120.0,1459.02,1271.3,187.72,0.1287,1800000.0
K200_4,200,primary,1014.0,0.0,277.83,16.89,26.76,23.85,124.5,1483.84,1291.84,192.0,0.1294,1828500.0
K200_5,200,primary,1062.0,0.0,285.44,16.89,25.68,23.78,125.4,1539.2,1347.44,191.76,0.1246,1836000.0
K200_6,200,primary,1057.5,0.0,260.55,16.89,29.09,25.38,127.2,1516.61,1318.04,198.56,0.1309,1846500.0
K200_7,200,primary,1095.0,0.0,397.31,16.89,25.5,24.25,124.2,1683.15,1492.31,190.84,0.1134,1828000.0
K200_8,200,primary,1023.0,0.0,372.83,16.89,27.92,23.85,120.0,1584.49,1395.83,188.66,0.1191,1800000.0
K200_9,200,primary,1044.0,0.0,233.77,16.89,26.62,24.04,122.7,1468.02,1277.77,190.26,0.1296,1605500.0
