scenario,K,t_lobby_mean_sec,h1_prize_ub_sec_per_order,h1_prize_ub_krw_per_day,h1_prize_ub_krw_per_year,ev2_ge12_frac,ev2_pax_max,h1_robot_rides,ev2_boardings_now,h1_ev2_trip_ratio,arrival_ia_cv2,stairs_share,share_floor_le5,riders_in_building_max,in_building_share
K50_1,50,249.9,189.9,21782.0,5446000.0,0.0,6,100,213.0,0.47,1.02,0.12,0.38,9,0.118
K50_2,50,244.9,184.9,21450.0,5362000.0,0.0,5,100,224.0,0.45,1.14,0.12,0.38,8,0.116
K100_1,100,245.7,185.7,42001.0,10500000.0,0.0,5,200,262.0,0.76,2.38,0.15,0.42,12,0.11
K100_2,100,247.9,187.9,42326.0,10582000.0,0.0,7,200,268.0,0.75,2.76,0.15,0.42,12,0.116
K100_3,100,248.6,188.6,57635.0,14409000.0,0.0,6,200,229.0,0.87,0.87,0.15,0.42,12,0.14
K100_4,100,247.4,187.4,57270.0,14318000.0,0.0,5,200,260.0,0.77,2.12,0.15,0.42,15,0.138
K100_5,100,246.6,186.6,57005.0,14251000.0,0.0,7,200,242.0,0.83,1.38,0.15,0.42,14,0.131
K100_6,100,249.8,189.8,58005.0,14501000.0,0.0,5,200,219.0,0.91,1.89,0.15,0.42,16,0.14
K100_7,100,249.7,189.7,57976.0,14494000.0,0.0,5,200,237.0,0.84,1.77,0.15,0.42,15,0.109
K100_8,100,254.2,194.2,59327.0,14832000.0,0.0,6,200,245.0,0.82,1.85,0.15,0.42,18,0.116
K100_9,100,249.8,189.8,61900.0,15475000.0,0.0,6,200,248.0,0.81,1.39,0.15,0.42,15,0.111
K200_1,200,264.9,204.9,92435.0,23109000.0,0.0,9,400,297.0,1.35,3.34,0.15,0.437,24,0.12
K200_2,200,261.2,201.2,89724.0,22431000.0,0.0,8,400,312.0,1.28,5.69,0.15,0.437,27,0.114
K200_3,200,261.4,201.4,100686.0,25171000.0,0.0,8,400,307.0,1.3,2.58,0.15,0.437,22,0.129
K200_4,200,270.2,210.2,107380.0,26845000.0,0.0,8,400,271.0,1.47,1.82,0.15,0.437,30,0.129
K200_5,200,266.8,206.8,106352.0,26588000.0,0.0,7,400,288.0,1.39,1.25,0.15,0.437,34,0.125
K200_6,200,275.8,215.8,111070.0,27767000.0,0.0,7,400,306.0,1.31,5.87,0.15,0.437,33,0.131
K200_7,200,264.8,204.8,104795.0,26199000.0,0.0,8,400,314.0,1.28,2.75,0.15,0.437,26,0.113
K200_8,200,257.8,197.8,98882.0,24720000.0,0.0,9,400,301.0,1.33,2.46,0.15,0.437,23,0.119
K200_9,200,267.4,207.4,93368.0,23342000.0,0.0,7,400,281.0,1.42,5.73,0.15,0.437,33,0.13
