scenario,K,tier,n_orders,ord_span_sec,orders_per_h,ia_mean_sec,ia_cv2,peak10_over_mean,cook_mean_sec,cook_p95_sec,vol_mean,vol_max,lead_mean_sec,lead_min_sec,pool_bike,pool_walk,pool_car,t_e2e_mean_sec,t_e2e_p95_sec,sla_violations,t_lobby_mean_sec,t_lobby_p95_sec,lobby_cost_krw,w_ev_riders_sec,w_ev_all_sec,ped_ev_wait_sec,ev1_util_del,ev2_util_del,ev1_pax_del,ev2_pax_del,ev1_boardings,ev2_boardings,ev2_pax_mean,ev2_pax_max,ev2_ge12_frac,stairs_share,share_floor_le5,riders_in_building_max,arrival_ia_cv2,arrival_peak10,rider_wait_mean_sec,fallback_n
K50_1,50,primary,50,3372.0,53.38,68.82,1.0113,1.56,1032.0,1800.0,26.0,56,2864.7,1802.0,10,15,50,1589.4533333333331,2315.75,0.0,249.86666666666667,334.1166666666666,28615.36666666667,26.85590314598798,22.023095601412326,21.420968580062425,0.8122963531122759,0.7948956480397432,0.7280182663485223,0.6802616178468641,224.0,212.66666666666666,0.673,6,0.0,0.12,0.37999999999999995,9,1.0232333333333334,1.76,0.0,4.666666666666667
K50_2,50,primary,50,3489.0,51.59,71.2,0.8872,1.2,1008.0,1800.0,30.7,100,2875.8,2078.0,10,15,50,1599.5266666666666,2548.35,0.0,244.9333333333333,308.31666666666666,28324.766666666666,22.786813165233102,22.102202223593707,21.952338130583925,0.8337102052801676,0.8038016978742517,0.7187824982935819,0.7032289213382522,235.0,223.66666666666666,0.6996666666666668,5,0.0,0.12,0.37999999999999995,8,1.1368333333333334,1.92,0.0,7.333333333333333
K100_1,100,primary,100,3500.0,102.86,35.35,1.1277,1.26,1095.0,1800.0,32.0,100,2953.7,1823.0,20,30,100,1664.4366666666665,2508.633333333333,0.0,245.7266666666667,316.76666666666665,55500.93333333333,26.482056401623407,24.599595026853816,24.176074099930904,0.8578829479817073,0.8474653797508479,0.8161877287942714,0.8008219322600802,263.6666666666667,262.0,0.8023333333333333,5,0.0,0.15,0.42,12,2.3801666666666663,1.8999999999999997,0.0,5.333333333333333
K100_2,100,primary,100,3511.0,102.53,35.46,0.8245,1.2,1044.0,1800.0,29.2,100,2883.2,1939.0,20,30,100,1598.676666666667,2458.4499999999994,0.0,247.86666666666667,323.9833333333333,55826.1,27.248528081187715,24.766404037387776,24.335425658360602,0.839348243691028,0.8312924467960597,0.8047365605519411,0.7979559254516793,274.6666666666667,267.6666666666667,0.7986666666666666,7,0.0,0.15,0.42,12,2.7613,1.8666666666666665,0.0,4.333333333333333
K100_3,100,primary,100,3485.0,103.3,35.2,0.9814,1.44,873.0,1500.0,24.3,90,2565.4,1861.0,20,30,100,1307.2733333333333,1993.6166666666666,0.0,248.62333333333333,323.46666666666664,75968.23333333334,28.793929191298332,25.722288117565313,25.0262964756086,0.8959314669653861,0.8642922559673245,0.8537343323671859,0.8248602014750471,234.66666666666666,229.0,0.8260000000000001,6,0.0,0.15,0.42,12,0.8667666666666666,1.76,0.0,2.3333333333333335
K100_4,100,primary,100,3566.0,100.95,36.02,1.9153,1.8,921.0,1800.0,26.4,80,3195.0,2348.0,20,30,100,1344.0,2145.933333333333,0.0,247.42999999999998,313.3333333333333,75603.59999999999,27.09915143092041,25.17089860016893,24.76452896218775,0.8482702628666902,0.8734351177879525,0.8198247512522956,0.8010891680094746,262.6666666666667,260.3333333333333,0.8036666666666666,5,0.0,0.15,0.42,15,2.1239666666666666,2.566666666666667,0.0,5.333333333333333
K100_5,100,primary,100,3538.0,101.75,35.74,0.8224,1.2,972.0,1800.0,27.5,77,2625.9,1800.0,20,30,100,1370.75,2204.9500000000003,0.0,246.56333333333336,318.90000000000003,75338.8,28.632264438615493,25.262404307591893,24.505331546305626,0.8504428058616146,0.8629257131211002,0.8135610834542053,0.807233498440246,239.33333333333334,241.66666666666666,0.8043333333333335,7,0.0,0.15,0.42,14,1.3831999999999998,1.8,0.0,0.0
K100_6,100,primary,100,3552.0,101.35,35.88,1.9426,1.86,894.0,1800.0,26.8,100,3179.9,2361.0,20,30,100,1326.4933333333333,2200.816666666667,0.0,249.83333333333334,331.8666666666666,76337.96666666667,28.963367328296073,25.036801759764916,24.137673609200295,0.8675971406218395,0.852187729476138,0.8405545210894566,0.7821305024931963,236.0,219.33333333333334,0.7833333333333333,5,0.0,0.15,0.42,16,1.8888666666666667,1.84,0.0,4.666666666666667
K100_7,100,primary,100,3527.0,102.07,35.63,0.9169,1.56,1176.0,1815.0,27.9,66,2945.9,1821.0,20,30,100,1675.6866666666665,2652.4666666666667,0.0,249.74,323.6166666666666,76309.43333333333,28.64804012406095,25.386794972679954,24.669168275935505,0.8729729159619105,0.8438836799903386,0.824226547028862,0.7843444889405223,249.0,237.33333333333334,0.7826666666666666,5,0.0,0.15,0.42,15,1.7711666666666666,2.0400000000000005,0.0,4.666666666666667
K100_8,100,primary,100,3589.0,100.31,36.25,1.0744,1.32,1050.0,1815.0,29.2,100,4098.6,3049.0,20,30,100,1620.6766666666665,2490.8166666666666,0.0,254.16,326.1666666666667,77660.0,29.09858376071722,25.229663676398587,24.3607855140193,0.8628821033412638,0.846294082044197,0.8092871272351925,0.800194789405524,251.66666666666666,244.66666666666666,0.8003333333333332,6,0.0,0.15,0.42,18,1.8499333333333334,2.25,0.0,10.666666666666666
