agent,metric,K50,K100,K200,K300
building,capex_total_krw,0.0,0.0,0.0,0.0
building,cost_per_order_krw,569.4,722.3481,648.6926,745.5917
building,opex_delivery_krw,28470.0667,72234.6556,129737.9444,223678.0583
building,w_ev_mean_all_sec,22.0626,25.1982,31.6013,37.2231
building,w_ev_mean_riders_sec,24.8214,28.0339,36.4628,42.6584
customer,n_delivered,50.0,100.0,200.0,300.0
customer,n_orders,50.0,100.0,200.0,300.0
customer,n_sla_violations,0.0,0.0,0.0,0.0
customer,sla_violation_rate,0.0,0.0,0.0,0.0
customer,t_e2e_mean_sec,1594.49,1507.7463,1552.6911,1509.4457
customer,t_e2e_p95_sec,2432.05,2362.2852,2421.2185,2334.0479
elevator,capacity_violations,0.0,0.0,0.0,0.0
elevator,mean_pax_delivery,0.7066,0.8029,1.0091,1.2465
elevator,n_boardings,891.3333,978.2963,1196.4074,1344.5417
elevator,n_boardings_ped,803.3333,808.2963,856.4074,843.875
elevator,n_boardings_rider,88.0,170.0,340.0,500.6667
elevator,pax_ge12_frac,0.0,0.0,0.0001,0.0002
elevator,pax_max_series,6.1667,6.3333,9.1481,10.875
elevator,queue_max,6.3333,7.0741,9.963,12.0833
elevator,util_delivery,0.8107,0.8522,0.8921,0.9166
elevator,w_ev_mean_sec,22.0469,25.1916,31.5951,37.2256
elevator,w_ev_ped_p95_sec,60.4292,66.2139,77.6736,88.8427
elevator,w_ev_ped_sec,21.7399,24.5778,29.6437,33.9871
elevator,w_ev_rider_sec,24.706,28.0931,36.454,42.6915
elevator_dedicated,capacity_violations,0.0,0.0,0.0,0.0
elevator_dedicated,mean_pax_delivery,0.7076,0.8099,1.008,1.2478
elevator_dedicated,n_boardings,447.6667,496.8889,601.7037,679.3333
elevator_dedicated,n_boardings_ped,404.0,410.7037,431.2222,429.6667
elevator_dedicated,n_boardings_rider,43.6667,86.1852,170.4815,249.6667
elevator_dedicated,pax_ge12_frac,0.0,0.0,0.0,0.0002
elevator_dedicated,pax_max_series,5.0,5.8519,7.8148,10.125
elevator_dedicated,queue_max,5.8333,6.5556,9.037,11.1667
elevator_dedicated,util_delivery,0.8112,0.8574,0.8949,0.9172
elevator_dedicated,w_ev_mean_sec,21.9102,25.4475,31.7722,37.004
elevator_dedicated,w_ev_ped_p95_sec,60.6333,66.2056,78.3583,88.7
elevator_dedicated,w_ev_ped_sec,21.7318,24.852,29.6404,33.9139
elevator_dedicated,w_ev_rider_sec,23.5631,28.2354,37.0949,42.3026
elevator_shared,capacity_violations,0.0,0.0,0.0,0.0
elevator_shared,mean_pax_delivery,0.7056,0.7959,1.0102,1.2452
elevator_shared,n_boardings,443.6667,481.4074,594.7037,665.2083
elevator_shared,n_boardings_ped,399.3333,397.5926,425.1852,414.2083
elevator_shared,n_boardings_rider,44.3333,83.8148,169.5185,251.0
elevator_shared,pax_ge12_frac,0.0,0.0,0.0001,0.0003
elevator_shared,pax_max_series,6.0,5.8889,8.6667,9.875
elevator_shared,queue_max,5.8333,6.5185,9.5556,11.125
elevator_shared,util_delivery,0.8102,0.8469,0.8894,0.9161
elevator_shared,w_ev_mean_sec,22.1835,24.9356,31.418,37.4471
elevator_shared,w_ev_ped_p95_sec,60.225,66.2222,76.9889,88.9854
elevator_shared,w_ev_ped_sec,21.7479,24.3036,29.647,34.0604
elevator_shared,w_ev_rider_sec,25.8488,27.9508,35.8131,43.0804
pedestrian,ev_wait_mean_sec,21.6867,24.5835,29.6798,34.0463
pedestrian,n_censored_at_end,9.0,8.4074,6.8889,5.8333
pedestrian,n_completed,799.5,805.1852,852.8889,841.0833
pedestrian,n_spawned,808.5,813.5926,859.7778,846.9167
pedestrian,waiting_max,11.3333,13.1481,14.2593,15.4583
pedestrian,waiting_mean,2.824,3.2004,3.8913,4.4816
rider,ev_wait_down_mean_sec,28.6319,32.0111,41.26,48.6292
rider,ev_wait_up_mean_sec,21.0109,24.0568,31.6657,36.6877
rider,in_building_max,8.0,13.5556,26.8519,39.125
rider,in_building_mean,2.091,4.1819,8.4209,13.4156
rider,lobby_cost_total_krw,28470.0667,72234.6556,129737.9444,223678.0542
rider,n_exited,50.0,100.0,200.0,300.0
rider,pool_wait_max_sec,0.0,0.0,0.0,0.0
rider,pool_wait_mean_sec,0.0,0.0,0.0,0.0
rider,stairs_share,0.12,0.15,0.15,0.1656
rider,t_lobby_mean_sec,247.4,248.8648,265.5819,277.5756
rider,t_lobby_p95_sec,321.2167,321.8444,351.6556,373.2458
rider,waiting_ev_max,4.0,6.3333,11.2222,16.5
rider,waiting_ev_mean,0.3703,0.801,1.9665,3.44
rider,walked_m_mean,43.8933,43.4185,42.4733,42.8578
