agent,K,metric,value,scenario
customer,100,n_orders,100.0,K100_1
customer,100,n_orders,100.0,K100_2
customer,100,n_orders,100.0,K100_3
customer,100,n_orders,100.0,K100_4
customer,100,n_orders,100.0,K100_5
customer,100,n_orders,100.0,K100_6
customer,100,n_orders,100.0,K100_7
customer,100,n_orders,100.0,K100_8
customer,100,n_orders,100.0,K100_9
customer,200,n_orders,200.0,K200_1
customer,200,n_orders,200.0,K200_2
customer,200,n_orders,200.0,K200_3
customer,200,n_orders,200.0,K200_4
customer,200,n_orders,200.0,K200_5
customer,200,n_orders,200.0,K200_6
customer,200,n_orders,200.0,K200_7
customer,200,n_orders,200.0,K200_8
customer,200,n_orders,200.0,K200_9
customer,300,n_orders,300.0,K300_1
customer,300,n_orders,300.0,K300_2
customer,300,n_orders,300.0,K300_3
customer,300,n_orders,300.0,K300_4
customer,300,n_orders,300.0,K300_5
customer,300,n_orders,300.0,K300_6
customer,300,n_orders,300.0,K300_7
customer,300,n_orders,300.0,K300_8
customer,50,n_orders,50.0,K50_1
customer,50,n_orders,50.0,K50_2
customer,100,n_delivered,100.0,K100_1
customer,100,n_delivered,100.0,K100_2
customer,100,n_delivered,100.0,K100_3
customer,100,n_delivered,100.0,K100_4
customer,100,n_delivered,100.0,K100_5
customer,100,n_delivered,100.0,K100_6
customer,100,n_delivered,100.0,K100_7
customer,100,n_delivered,100.0,K100_8
customer,100,n_delivered,100.0,K100_9
customer,200,n_delivered,200.0,K200_1
customer,200,n_delivered,200.0,K200_2
customer,200,n_delivered,200.0,K200_3
customer,200,n_delivered,200.0,K200_4
customer,200,n_delivered,200.0,K200_5
customer,200,n_delivered,200.0,K200_6
customer,200,n_delivered,200.0,K200_7
customer,200,n_delivered,200.0,K200_8
customer,200,n_delivered,200.0,K200_9
customer,300,n_delivered,300.0,K300_1
customer,300,n_delivered,300.0,K300_2
customer,300,n_delivered,300.0,K300_3
customer,300,n_delivered,300.0,K300_4
customer,300,n_delivered,300.0,K300_5
customer,300,n_delivered,300.0,K300_6
customer,300,n_delivered,300.0,K300_7
customer,300,n_delivered,300.0,K300_8
customer,50,n_delivered,50.0,K50_1
customer,50,n_delivered,50.0,K50_2
customer,100,t_e2e_mean_sec,1664.4367,K100_1
customer,100,t_e2e_mean_sec,1598.6767,K100_2
customer,100,t_e2e_mean_sec,1307.2733,K100_3
customer,100,t_e2e_mean_sec,1344.0,K100_4
customer,100,t_e2e_mean_sec,1370.75,K100_5
customer,100,t_e2e_mean_sec,1326.4933,K100_6
customer,100,t_e2e_mean_sec,1675.6867,K100_7
customer,100,t_e2e_mean_sec,1620.6767,K100_8
customer,100,t_e2e_mean_sec,1661.7233,K100_9
customer,200,t_e2e_mean_sec,1603.96,K200_1
customer,200,t_e2e_mean_sec,1635.425,K200_2
customer,200,t_e2e_mean_sec,1458.55,K200_3
customer,200,t_e2e_mean_sec,1485.9233,K200_4
customer,200,t_e2e_mean_sec,1539.6367,K200_5
customer,200,t_e2e_mean_sec,1513.9183,K200_6
customer,200,t_e2e_mean_sec,1683.54,K200_7
customer,200,t_e2e_mean_sec,1582.605,K200_8
customer,200,t_e2e_mean_sec,1470.6617,K200_9
customer,300,t_e2e_mean_sec,1378.3,K300_1
customer,300,t_e2e_mean_sec,1323.6956,K300_2
customer,300,t_e2e_mean_sec,1530.7878,K300_3
customer,300,t_e2e_mean_sec,1548.3267,K300_4
customer,300,t_e2e_mean_sec,1591.7244,K300_5
customer,300,t_e2e_mean_sec,1659.2533,K300_6
customer,300,t_e2e_mean_sec,1502.2867,K300_7
customer,300,t_e2e_mean_sec,1541.1911,K300_8
customer,50,t_e2e_mean_sec,1589.4533,K50_1
customer,50,t_e2e_mean_sec,1599.5267,K50_2
customer,100,t_e2e_p95_sec,2508.6333,K100_1
customer,100,t_e2e_p95_sec,2458.45,K100_2
customer,100,t_e2e_p95_sec,1993.6167,K100_3
customer,100,t_e2e_p95_sec,2145.9333,K100_4
customer,100,t_e2e_p95_sec,2204.95,K100_5
customer,100,t_e2e_p95_sec,2200.8167,K100_6
customer,100,t_e2e_p95_sec,2652.4667,K100_7
customer,100,t_e2e_p95_sec,2490.8167,K100_8
customer,100,t_e2e_p95_sec,2604.8833,K100_9
customer,200,t_e2e_p95_sec,2544.9167,K200_1
customer,200,t_e2e_p95_sec,2400.35,K200_2
customer,200,t_e2e_p95_sec,2357.55,K200_3
customer,200,t_e2e_p95_sec,2323.5,K200_4
customer,200,t_e2e_p95_sec,2343.0667,K200_5
customer,200,t_e2e_p95_sec,2421.85,K200_6
customer,200,t_e2e_p95_sec,2610.3333,K200_7
customer,200,t_e2e_p95_sec,2465.1333,K200_8
customer,200,t_e2e_p95_sec,2324.2667,K200_9
customer,300,t_e2e_p95_sec,2184.0333,K300_1
customer,300,t_e2e_p95_sec,2067.8333,K300_2
customer,300,t_e2e_p95_sec,2325.6,K300_3
customer,300,t_e2e_p95_sec,2356.2167,K300_4
customer,300,t_e2e_p95_sec,2470.1167,K300_5
customer,300,t_e2e_p95_sec,2538.1333,K300_6
customer,300,t_e2e_p95_sec,2326.0833,K300_7
customer,300,t_e2e_p95_sec,2404.3667,K300_8
customer,50,t_e2e_p95_sec,2315.75,K50_1
customer,50,t_e2e_p95_sec,2548.35,K50_2
customer,100,n_sla_violations,0.0,K100_1
customer,100,n_sla_violations,0.0,K100_2
customer,100,n_sla_violations,0.0,K100_3
customer,100,n_sla_violations,0.0,K100_4
customer,100,n_sla_violations,0.0,K100_5
customer,100,n_sla_violations,0.0,K100_6
customer,100,n_sla_violations,0.0,K100_7
customer,100,n_sla_violations,0.0,K100_8
customer,100,n_sla_violations,0.0,K100_9
customer,200,n_sla_violations,0.0,K200_1
customer,200,n_sla_violations,0.0,K200_2
customer,200,n_sla_violations,0.0,K200_3
customer,200,n_sla_violations,0.0,K200_4
customer,200,n_sla_violations,0.0,K200_5
customer,200,n_sla_violations,0.0,K200_6
customer,200,n_sla_violations,0.0,K200_7
customer,200,n_sla_violations,0.0,K200_8
customer,200,n_sla_violations,0.0,K200_9
customer,300,n_sla_violations,0.0,K300_1
customer,300,n_sla_violations,0.0,K300_2
customer,300,n_sla_violations,0.0,K300_3
customer,300,n_sla_violations,0.0,K300_4
customer,300,n_sla_violations,0.0,K300_5
customer,300,n_sla_violations,0.0,K300_6
customer,300,n_sla_violations,0.0,K300_7
customer,300,n_sla_violations,0.0,K300_8
customer,50,n_sla_violations,0.0,K50_1
customer,50,n_sla_violations,0.0,K50_2
customer,100,sla_violation_rate,0.0,K100_1
customer,100,sla_violation_rate,0.0,K100_2
customer,100,sla_violation_rate,0.0,K100_3
customer,100,sla_violation_rate,0.0,K100_4
customer,100,sla_violation_rate,0.0,K100_5
customer,100,sla_violation_rate,0.0,K100_6
customer,100,sla_violation_rate,0.0,K100_7
customer,100,sla_violation_rate,0.0,K100_8
customer,100,sla_violation_rate,0.0,K100_9
customer,200,sla_violation_rate,0.0,K200_1
customer,200,sla_violation_rate,0.0,K200_2
customer,200,sla_violation_rate,0.0,K200_3
customer,200,sla_violation_rate,0.0,K200_4
customer,200,sla_violation_rate,0.0,K200_5
customer,200,sla_violation_rate,0.0,K200_6
customer,200,sla_violation_rate,0.0,K200_7
customer,200,sla_violation_rate,0.0,K200_8
customer,200,sla_violation_rate,0.0,K200_9
customer,300,sla_violation_rate,0.0,K300_1
customer,300,sla_violation_rate,0.0,K300_2
customer,300,sla_violation_rate,0.0,K300_3
customer,300,sla_violation_rate,0.0,K300_4
customer,300,sla_violation_rate,0.0,K300_5
customer,300,sla_violation_rate,0.0,K300_6
customer,300,sla_violation_rate,0.0,K300_7
customer,300,sla_violation_rate,0.0,K300_8
customer,50,sla_violation_rate,0.0,K50_1
customer,50,sla_violation_rate,0.0,K50_2
rider,100,n_exited,100.0,K100_1
rider,100,n_exited,100.0,K100_2
rider,100,n_exited,100.0,K100_3
rider,100,n_exited,100.0,K100_4
rider,100,n_exited,100.0,K100_5
rider,100,n_exited,100.0,K100_6
rider,100,n_exited,100.0,K100_7
rider,100,n_exited,100.0,K100_8
rider,100,n_exited,100.0,K100_9
rider,200,n_exited,200.0,K200_1
rider,200,n_exited,200.0,K200_2
rider,200,n_exited,200.0,K200_3
rider,200,n_exited,200.0,K200_4
