kpi,column,K50,K50_scen_min,K50_scen_max,K50_scen_cv,K100,K100_scen_min,K100_scen_max,K100_scen_cv,K200,K200_scen_min,K200_scen_max,K200_scen_cv,K300,K300_scen_min,K300_scen_max,K300_scen_cv,K300_over_K50
T_e2e mean (s),kpi.customer.t_e2e_mean_sec,1594.49,1589.4533,1599.5267,0.0045,1507.7463,1307.2733,1675.6867,0.109,1552.6911,1458.55,1683.54,0.0505,1509.4457,1323.6956,1659.2533,0.0725,0.947
T_e2e p95 (s),kpi.customer.t_e2e_p95_sec,2432.05,2315.75,2548.35,0.0676,2362.2852,1993.6167,2652.4667,0.0974,2421.2185,2323.5,2610.3333,0.042,2334.0479,2067.8333,2538.1333,0.0646,0.96
T_lobby mean (s),kpi.rider.t_lobby_mean_sec,247.4,244.9333,249.8667,0.0141,248.8648,245.7267,254.16,0.0099,265.5819,257.7633,275.7917,0.0202,277.5756,271.8178,282.9189,0.0119,1.122
T_lobby p95 (s),kpi.rider.t_lobby_p95_sec,321.2167,308.3167,334.1167,0.0568,321.8444,313.3333,331.8667,0.0173,351.6556,338.5667,365.3667,0.0286,373.2458,360.3833,384.7333,0.025,1.162
W_EV riders (s),kpi.building.w_ev_mean_riders_sec,24.8214,22.7868,26.8559,0.1159,28.0339,26.4821,29.0986,0.035,36.4628,34.4826,39.6987,0.0437,42.6584,40.6805,45.0337,0.0332,1.719
W_EV pedestrians (s),kpi.pedestrian.ev_wait_mean_sec,21.6867,21.421,21.9523,0.0173,24.5835,24.1377,25.2763,0.0157,29.6798,28.9207,30.3742,0.016,34.0463,32.769,34.6585,0.0182,1.57
"Riders in building, max",drv_riders_in_building_max,8.0,7.3333,8.6667,0.1179,13.5556,11.3333,17.0,0.1347,26.8519,21.3333,32.6667,0.1578,39.125,32.6667,48.6667,0.1461,4.891
Stairs share,drv_stairs_share,0.12,0.12,0.12,0.0,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.0,0.1656,0.1656,0.1656,0.0,1.38
Lobby cost per order (KRW),kpi.building.cost_per_order_krw,569.4,566.5,572.3,0.0072,722.3481,555.0333,815.6667,0.1326,648.6926,582.3333,709.2333,0.0705,745.5917,615.9,901.6,0.1662,1.309
SLA violations,kpi.customer.n_sla_violations,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,
