K,ev_id,role,util_delivery,util_full,mean_pax_delivery,n_boardings,n_boardings_rider,n_boardings_ped,w_ev_mean_sec,w_ev_p95_sec,w_ev_rider_sec,w_ev_ped_sec,w_ev_ped_p95_sec,capacity_violations,pax_mean_series,pax_max_series,pax_ge12_frac,queue_mean,queue_max
50,EV1,dedicated,0.823,0.8173,0.7234,229.5,21.6667,207.8333,22.8419,63.0667,23.9014,22.7153,63.2167,0.0,0.7233,4.5,0.0,0.8328,5.1667
50,EV2,dedicated,0.7993,0.7827,0.6917,218.1667,22.0,196.1667,20.9784,57.5417,23.2248,20.7483,58.05,0.0,0.692,4.5,0.0,0.7437,5.1667
50,EV3,shared,0.806,0.7745,0.6939,219.5,20.5,199.0,22.056,60.1333,23.2685,21.8593,60.55,0.0,0.694,4.8333,0.0,0.7987,5.1667
50,EV4,shared,0.8144,0.7907,0.7173,224.1667,23.8333,200.3333,22.311,60.5917,28.4291,21.6365,59.9,0.0,0.7175,5.5,0.0,0.8187,5.3333
100,EV1,dedicated,0.8607,0.8515,0.8196,251.3333,44.8889,206.4444,25.7365,67.8796,28.3686,25.1448,66.6019,0.0,0.8195,5.5185,0.0,1.0353,6.1111
100,EV2,dedicated,0.8541,0.8325,0.8002,245.5556,41.2963,204.2593,25.1585,66.3481,28.1022,24.5592,65.8093,0.0,0.8003,5.1481,0.0,1.007,5.8889
100,EV3,shared,0.8521,0.8165,0.7924,239.2963,42.2222,197.0741,25.5662,67.737,28.3092,24.9747,67.2167,0.0,0.7925,5.0,0.0,1.0038,5.7407
100,EV4,shared,0.8418,0.8157,0.7994,242.1111,41.5926,200.5185,24.305,65.9167,27.5924,23.6325,65.2278,0.0,0.7996,5.5926,0.0,0.9558,6.0741
200,EV1,dedicated,0.8967,0.8849,1.0203,304.2593,84.7778,219.4815,31.809,80.6167,37.0953,29.7581,77.9222,0.0,1.0202,7.1111,0.0,1.4829,8.4815
200,EV2,dedicated,0.893,0.8692,0.9957,297.4444,85.7037,211.7407,31.7354,81.3889,37.0945,29.5228,78.7944,0.0,0.9957,6.9259,0.0,1.4666,7.7778
200,EV3,shared,0.8933,0.856,1.0129,297.2963,85.3704,211.9259,31.9329,79.587,36.4453,30.0628,77.0148,0.0,1.0129,7.6296,0.0002,1.4807,8.5556
200,EV4,shared,0.8854,0.8569,1.0076,297.4074,84.1481,213.2593,30.903,77.9704,35.1809,29.2312,76.963,0.0,1.0079,7.5556,0.0001,1.4277,8.6296
300,EV1,dedicated,0.9184,0.9044,1.2439,341.1667,124.8333,216.3333,37.1391,91.5375,42.1403,34.2905,89.6021,0.0,1.2437,9.25,0.0003,1.9883,10.7083
300,EV2,dedicated,0.9161,0.8899,1.2518,338.1667,124.8333,213.3333,36.8689,90.7396,42.4649,33.5372,87.7979,0.0,1.2518,9.125,0.0001,1.9775,9.9583
300,EV3,shared,0.9186,0.8784,1.2463,332.875,125.9583,206.9167,37.9104,91.8333,42.9847,34.8213,90.0271,0.0,1.2462,9.0,0.0001,2.0081,10.375
300,EV4,shared,0.9135,0.8821,1.2442,332.3333,125.0417,207.2917,36.9839,91.8396,43.176,33.2994,87.9437,0.0,1.2445,9.2917,0.0005,1.9476,10.5833
