K,scenario,util_delivery,mean_pax,w_ev,w_ev_rider,w_ev_ped
50,K50_1,0.8059,0.7013,21.9985,26.827,21.4705
50,K50_2,0.8154,0.7119,22.0952,22.5849,22.0092
100,K100_1,0.8484,0.795,24.5956,26.617,24.2199
100,K100_2,0.8287,0.7903,24.7566,27.4241,24.2875
100,K100_3,0.8652,0.8179,25.7137,28.8093,24.9816
100,K100_4,0.8524,0.7965,25.1856,27.1733,24.7826
100,K100_5,0.8517,0.8081,25.2549,28.5912,24.5026
100,K100_6,0.8608,0.8072,24.998,28.7633,24.1088
100,K100_7,0.8582,0.8016,25.3767,28.6037,24.6761
100,K100_8,0.8505,0.8063,25.2447,29.2354,24.4271
100,K100_9,0.8535,0.8032,25.5982,27.6202,25.2141
200,K200_1,0.9032,1.0159,31.6405,36.0766,29.8202
200,K200_2,0.8832,0.9847,30.7219,35.4588,28.9703
200,K200_3,0.8867,0.9823,31.6374,36.2776,29.8596
200,K200_4,0.9012,1.0427,32.6221,37.8487,30.2744
200,K200_5,0.9015,1.0284,31.6283,35.8975,29.8549
200,K200_6,0.8784,1.0136,32.4788,39.6572,29.6174
200,K200_7,0.8817,0.986,30.62,35.2204,28.9304
200,K200_8,0.8975,1.003,30.9224,34.4818,29.5154
200,K200_9,0.8957,1.0256,32.0845,37.1675,29.9508
300,K300_1,0.9238,1.295,37.703,42.9229,34.262
300,K300_2,0.9359,1.2548,36.8861,40.7165,34.5299
300,K300_3,0.9172,1.2634,37.6523,42.9356,34.5077
300,K300_4,0.8941,1.1741,36.2221,42.7867,32.7624
300,K300_5,0.9245,1.2603,36.9146,41.0844,34.3943
300,K300_6,0.9135,1.2122,36.873,42.1054,33.8975
300,K300_7,0.9186,1.2648,37.4771,43.8931,33.5989
300,K300_8,0.9055,1.2478,38.0764,45.0872,33.9442
