scenario,K,tier,seed,wall_sec,drv_arrival_ia_cv2,drv_arrival_ia_mean_sec,drv_arrival_peak10_over_mean,drv_backlog_max,drv_dedicated_pax_mean,drv_dedicated_queue_mean,drv_deliv_per_floor_max,drv_deliv_per_floor_mean,drv_dispatch_queue_max,drv_ev1_pax_ge12_frac,drv_ev1_pax_max,drv_ev1_pax_mean,drv_ev1_queue_max,drv_ev1_queue_mean,drv_ev2_pax_ge12_frac,drv_ev2_pax_max,drv_ev2_pax_mean,drv_ev2_queue_max,drv_ev2_queue_mean,drv_ev3_pax_ge12_frac,drv_ev3_pax_max,drv_ev3_pax_mean,drv_ev3_queue_max,drv_ev3_queue_mean,drv_ev4_pax_ge12_frac,drv_ev4_pax_max,drv_ev4_pax_mean,drv_ev4_queue_max,drv_ev4_queue_mean,drv_evwait_down_p95_sec,drv_evwait_up_p95_sec,drv_fallback_cum_final,drv_fallback_n,drv_floor_burst10_max,drv_floor_mean,drv_n_bike,drv_n_car,drv_n_walk,drv_peds_waiting_max,drv_peds_waiting_mean,drv_rider_wait_max_sec,drv_rider_wait_mean_sec,drv_riders_in_building_max,drv_riders_in_building_mean,drv_riders_in_service_mean,drv_riders_waiting_ev_max,drv_riders_waiting_ev_mean,drv_service_time_mean_sec,drv_share_floor_le5,drv_shared_ev_ids,drv_shared_pax_ge12_frac_all,drv_shared_pax_ge12_frac_any,drv_shared_pax_mean,drv_shared_queue_mean,drv_stairs_share,drv_walked_m_mean,drv_window_used,kpi.building.capex_total_krw,kpi.building.cost_per_order_krw,kpi.building.opex_running_krw,kpi.building.opex_running_krw_delivery,kpi.building.opex_running_krw_orderspan,kpi.building.w_ev_mean_all_sec,kpi.building.w_ev_mean_riders_sec,kpi.customer.n_delivered,kpi.customer.n_orders,kpi.customer.n_sla_violations,kpi.customer.sla_violation_rate,kpi.customer.t_e2e_mean_sec,kpi.customer.t_e2e_p95_sec,kpi.elevator.EV1.capacity_violations,kpi.elevator.EV1.mean_passengers_delivery,kpi.elevator.EV1.n_alights,kpi.elevator.EV1.n_boardings,kpi.elevator.EV1.n_boardings_by_kind.pedestrian,kpi.elevator.EV1.n_boardings_by_kind.rider,kpi.elevator.EV1.shared_with_robot,kpi.elevator.EV1.utilization,kpi.elevator.EV1.utilization_delivery,kpi.elevator.EV1.utilization_orderspan,kpi.elevator.EV1.w_ev_mean_by_kind_sec.pedestrian,kpi.elevator.EV1.w_ev_mean_by_kind_sec.rider,kpi.elevator.EV1.w_ev_mean_sec,kpi.elevator.EV1.w_ev_p95_by_kind_sec.pedestrian,kpi.elevator.EV1.w_ev_p95_by_kind_sec.rider,kpi.elevator.EV1.w_ev_p95_sec,kpi.elevator.EV2.capacity_violations,kpi.elevator.EV2.mean_passengers_delivery,kpi.elevator.EV2.n_alights,kpi.elevator.EV2.n_boardings,kpi.elevator.EV2.n_boardings_by_kind.pedestrian,kpi.elevator.EV2.n_boardings_by_kind.rider,kpi.elevator.EV2.shared_with_robot,kpi.elevator.EV2.utilization,kpi.elevator.EV2.utilization_delivery,kpi.elevator.EV2.utilization_orderspan,kpi.elevator.EV2.w_ev_mean_by_kind_sec.pedestrian,kpi.elevator.EV2.w_ev_mean_by_kind_sec.rider,kpi.elevator.EV2.w_ev_mean_sec,kpi.elevator.EV2.w_ev_p95_by_kind_sec.pedestrian,kpi.elevator.EV2.w_ev_p95_by_kind_sec.rider,kpi.elevator.EV2.w_ev_p95_sec,kpi.elevator.EV3.capacity_violations,kpi.elevator.EV3.mean_passengers_delivery,kpi.elevator.EV3.n_alights,kpi.elevator.EV3.n_boardings,kpi.elevator.EV3.n_boardings_by_kind.pedestrian,kpi.elevator.EV3.n_boardings_by_kind.rider,kpi.elevator.EV3.shared_with_robot,kpi.elevator.EV3.utilization,kpi.elevator.EV3.utilization_delivery,kpi.elevator.EV3.utilization_orderspan,kpi.elevator.EV3.w_ev_mean_by_kind_sec.pedestrian,kpi.elevator.EV3.w_ev_mean_by_kind_sec.rider,kpi.elevator.EV3.w_ev_mean_sec,kpi.elevator.EV3.w_ev_p95_by_kind_sec.pedestrian,kpi.elevator.EV3.w_ev_p95_by_kind_sec.rider,kpi.elevator.EV3.w_ev_p95_sec,kpi.elevator.EV4.capacity_violations,kpi.elevator.EV4.mean_passengers_delivery,kpi.elevator.EV4.n_alights,kpi.elevator.EV4.n_boardings,kpi.elevator.EV4.n_boardings_by_kind.pedestrian,kpi.elevator.EV4.n_boardings_by_kind.rider,kpi.elevator.EV4.shared_with_robot,kpi.elevator.EV4.utilization,kpi.elevator.EV4.utilization_delivery,kpi.elevator.EV4.utilization_orderspan,kpi.elevator.EV4.w_ev_mean_by_kind_sec.pedestrian,kpi.elevator.EV4.w_ev_mean_by_kind_sec.rider,kpi.elevator.EV4.w_ev_mean_sec,kpi.elevator.EV4.w_ev_p95_by_kind_sec.pedestrian,kpi.elevator.EV4.w_ev_p95_by_kind_sec.rider,kpi.elevator.EV4.w_ev_p95_sec,kpi.pedestrian.ev_wait_mean_sec,kpi.pedestrian.n_completed,kpi.pedestrian.n_in_building_at_end,kpi.pedestrian.n_spawned,kpi.rider.ev_wait_down_mean_sec,kpi.rider.ev_wait_up_mean_sec,kpi.rider.lobby_cost_total_krw,kpi.rider.n_by_mode.elevator,kpi.rider.n_by_mode.stairs,kpi.rider.n_exited,kpi.rider.t_lobby_mean_sec,kpi.rider.t_lobby_p95_sec,kpi.simulation.clock_end_sec,kpi.simulation.clock_start_sec,kpi.simulation.delivery_window_sec,kpi.simulation.orderspan_window_sec,kpi.simulation.ped_window_sec,kpi.simulation.scenario_window,kpi.simulation.terminated_by_cap,kpi.simulation.termination_policy,kpi.simulation.termination_reason,kpi.simulation.ticks,kpi.simulation.wall_span_delivery_sec,kpi.simulation.wall_span_orderspan_sec,kpi.simulation.wall_span_sec,kpi.simulation.warmup.head_sec,kpi.simulation.warmup.lookback_sec,kpi.simulation.warmup.ped_boardings_per_min,kpi.simulation.warmup.peds_at_first_order,kpi.simulation.warmup.peds_waiting_at_first_order,kpi.simulation.warmup.util_at_first_order,kpi.simulation.warmup_sec,kpi.simulation.window_policy
K50_1,50,primary,42,0.72,1.0239,97.22,1.76,28,0.743,0.852,10,5.556,0,0.0,4,0.736,5,0.86,0.0,6,0.75,7,0.844,0.0,6,0.767,6,0.889,0.0,5,0.712,5,0.885,69.6,57.599999999999994,5,5,4,6.48,45,5,0,13,3.026,0.0,0.0,9,2.247,1.102,5,0.452,126.0,0.3,EV3|EV4,0.0,0.0,0.74,0.887,0.1,44.44,delivery,0.0,589.6,29479.4,29479.4,29366.1,23.11023622047244,28.7,50,50,0,0.0,1594.86,2304.2,0,0.735746764603008,226,228,205,23,False,0.844571066793289,0.8490731024833857,0.8476879632897988,22.44878048780488,27.391304347826086,22.94736842105263,62.79999999999998,66.1,63.64999999999998,0,0.7506121021336132,230,230,208,22,False,0.824628046850269,0.8462749213011542,0.8448641016590187,20.865384615384617,27.09090909090909,21.46086956521739,56.0,57.75,56.54999999999998,0,0.7667016439314446,215,216,192,24,True,0.7841088952200064,0.8083245890171389,0.8065654782915637,24.421875,24.875,24.47222222222222,65.44999999999999,62.0,65.25,0,0.7123119972018188,214,215,194,21,True,0.8095916429249762,0.832109129066107,0.8305683021531945,22.324742268041238,36.19047619047619,23.67906976744186,60.69999999999999,70.0,62.29999999999998,22.408575031525853,793,15,808,31.866666666666667,25.533333333333335,29479.4,45,5,50,256.96,344.55,47125.0,40807.0,"[41407.0, 47125.0]","[41407.0, 47073.0]","[40807.0, 51979.0]",True,False,delivery_complete,delivery_complete,6318,5718.0,5666.0,6318.0,600.0,300.0,6.2,7,3,0.5966666666666667,600.0,delivery
K50_1,50,primary,7,0.93,1.0239,97.22,1.76,28,0.712,0.754,9,5.556,0,0.0,5,0.77,6,0.884,0.0,4,0.654,4,0.624,0.0,4,0.651,4,0.736,0.0,7,0.696,7,0.812,63.5,53.25,5,5,3,6.18,45,5,0,11,2.654,0.0,0.0,9,2.152,1.095,5,0.403,126.0,0.42,EV3|EV4,0.0,0.0,0.674,0.774,0.08,43.04,delivery,0.0,567.1,28356.1,28356.1,28176.1,21.461988304093566,25.184782608695652,50,50,0,0.0,1586.86,2314.0499999999997,0,0.7701668984700973,227,228,197,31,False,0.8054156171284634,0.8139777468706537,0.8139329805996472,23.482233502538072,26.451612903225808,23.885964912280702,66.19999999999999,57.0,65.64999999999998,0,0.6535118219749653,203,203,188,15,False,0.7591309823677582,0.7788595271210014,0.7790123456790123,18.71808510638298,19.333333333333332,18.763546798029555,54.650000000000006,42.899999999999984,53.89999999999998,0,0.6514255910987483,209,209,184,25,True,0.7766057934508817,0.8158901251738526,0.8132275132275132,19.36413043478261,27.72,20.363636363636363,49.849999999999994,52.39999999999999,50.599999999999994,0,0.6955841446453408,215,215,194,21,True,0.7651133501259446,0.7958970792767733,0.7948853615520283,22.29381443298969,24.476190476190474,22.506976744186048,55.0,64.0,55.89999999999995,21.03543307086614,762,6,768,32.02173913043478,18.347826086956523,28356.1,46,4,50,247.56,313.4,47159.0,40807.0,"[41407.0, 47159.0]","[41407.0, 47077.0]","[40807.0, 51979.0]",True,False,delivery_complete,delivery_complete,6352,5752.0,5670.0,6352.0,600.0,300.0,5.6,8,3,0.5683333333333334,600.0,delivery
K50_1,50,primary,2026,0.99,1.0219,97.22,1.76,28,0.657,0.703,7,5.556,0,0.0,6,0.678,6,0.738,0.0,4,0.637,4,0.668,0.0,4,0.69,5,0.858,0.0,6,0.676,5,0.768,72.0,62.0,4,4,3,6.14,46,4,0,11,2.656,0.0,0.0,8,2.109,1.074,4,0.377,124.8,0.42,EV3|EV4,0.0,0.0,0.683,0.813,0.18,43.84,delivery,0.0,560.2,28010.6,28010.6,27803.9,21.497062279670974,26.682926829268293,50,50,0,0.0,1586.64,2329.0,0,0.6781411359724613,216,216,192,24,False,0.7722308892355694,0.7738382099827883,0.7701189643107068,21.317708333333332,18.125,20.962962962962962,65.0,48.49999999999998,65.0,0,0.6366609294320138,203,205,188,17,False,0.7510140405616225,0.7595524956970741,0.7555983205038489,19.48936170212766,24.294117647058822,19.88780487804878,56.650000000000006,48.999999999999986,56.79999999999998,0,0.6896729776247849,214,217,195,22,True,0.7628705148205929,0.7965576592082616,0.7932120363890833,22.635897435897437,28.818181818181817,23.262672811059907,68.59999999999997,67.39999999999999,68.39999999999998,0,0.6755593803786575,213,213,194,19,True,0.7828393135725429,0.8010327022375215,0.7979356193142058,20.283505154639176,37.1578947368421,21.788732394366196,59.74999999999997,82.99999999999997,63.39999999999998,20.818897637795274,762,13,775,28.73170731707317,24.634146341463413,28010.6,41,9,50,245.08,344.4,47217.0,40807.0,"[41407.0, 47217.0]","[41407.0, 47123.0]","[40807.0, 51979.0]",True,False,delivery_complete,delivery_complete,6410,5810.0,5716.0,6410.0,600.0,300.0,6.4,13,4,0.6075,600.0,delivery
K50_2,50,primary,42,1.0,1.2508,98.02,1.8,24,0.754,0.852,10,5.556,0,0.0,4,0.734,5,0.845,0.0,4,0.775,5,0.858,0.0,7,0.728,6,0.796,0.0,5,0.805,6,0.926,51.19999999999999,51.999999999999986,8,8,4,6.48,42,7,1,11,3.087,0.0,0.0,8,2.046,1.065,3,0.339,128.4,0.3,EV3|EV4,0.0,0.0,0.766,0.861,0.1,44.36,delivery,0.0,570.0,28498.2,28498.2,28433.8,22.75581395348837,22.677777777777777,50,50,0,0.0,1607.46,2531.7999999999997,0,0.7338642774182844,239,239,223,16,False,0.8699260600573412,0.8767214202754272,0.8761047190261797,22.95964125560538,19.4375,22.723849372384937,60.799999999999955,53.25,59.19999999999999,0,0.775012444001991,238,238,209,29,False,0.8171118153010412,0.8369006139040982,0.8360847090211773,21.928229665071772,24.310344827586206,22.218487394957982,59.0,50.59999999999999,59.0,0,0.7272274763563962,225,226,207,19,True,0.8149992455107892,0.8410486145677784,0.840253460063365,22.806763285024154,16.842105263157894,22.305309734513273,62.69999999999999,44.099999999999994,61.5,0,0.805043968807035,242,243,217,26,True,0.8287309491474272,0.8519993363198938,0.8512589628147407,23.327188940092167,27.115384615384617,23.732510288065843,63.0,51.75,61.499999999999886,22.684272300469484,852,7,859,24.08888888888889,21.266666666666666,28498.2,45,5,50,246.64,309.65,47453.0,40826.0,"[41426.0, 47453.0]","[41426.0, 47423.0]","[40826.0, 52115.0]",True,False,delivery_complete,delivery_complete,6627,6027.0,5997.0,6627.0,600.0,300.0,6.2,7,3,0.5966666666666667,600.0,delivery
K50_2,50,primary,7,0.74,1.0828,98.02,1.98,24,0.72,0.777,9,5.556,0,0.0,4,0.756,5,0.812,0.0,5,0.685,6,0.741,0.0,4,0.655,4,0.725,0.0,4,0.711,5,0.723,60.25,52.25,7,7,3,6.18,43,7,0,12,2.642,0.0,0.0,7,2.016,1.049,4,0.359,128.4,0.42,EV3|EV4,0.0,0.0,0.683,0.724,0.08,43.48,delivery,0.0,570.8,28539.4,28539.4,28348.3,20.943169398907102,23.902173913043477,50,50,0,0.0,1595.88,2567.4999999999995,0,0.7562530652280529,242,242,223,19,False,0.8027393181479827,0.8105280366192578,0.809452736318408,21.982062780269057,21.473684210526315,21.94214876033058,60.799999999999955,43.49999999999994,60.89999999999998,0,0.6843223802517574,220,221,197,24,False,0.7740062527914248,0.7940166748406081,0.7910447761194029,20.95939086294416,26.0,21.506787330316744,64.0,51.699999999999996,61.0,0,0.6552231486022561,219,220,202,18,True,0.7491439630787554,0.7833905509236554,0.7802653399668324,20.287128712871286,22.88888888888889,20.5,57.94999999999999,59.649999999999984,58.04999999999998,0,0.7111329082883766,232,232,201,31,True,0.7911269912163168,0.8226254700016348,0.8200663349917081,19.079601990049753,24.35483870967742,19.78448275862069,55.0,59.0,55.44999999999999,20.535365853658536,820,9,829,29.32608695652174,18.47826086956522,28539.4,46,4,50,246.64,308.15,47543.0,40826.0,"[41426.0, 47543.0]","[41426.0, 47456.0]","[40826.0, 52115.0]",True,False,delivery_complete,delivery_complete,6717,6117.0,6030.0,6717.0,600.0,300.0,5.6,8,3,0.5683333333333334,600.0,delivery
K50_2,50,primary,2026,0.78,1.0769,98.02,1.98,24,0.658,0.792,7,5.556,0,0.0,4,0.666,4,0.858,0.0,4,0.651,5,0.727,0.0,4,0.673,6,0.788,0.0,6,0.705,4,0.798,58.0,63.0,7,7,4,6.14,43,7,0,10,2.879,0.0,0.0,7,1.976,1.051,3,0.292,128.4,0.42,EV3|EV4,0.0,0.0,0.689,0.793,0.18,44.2,delivery,0.0,558.7,27936.7,27936.7,27770.0,22.60762331838565,21.78048780487805,50,50,0,0.0,1595.24,2545.7499999999995,0,0.6662301522344083,224,224,207,17,False,0.8087643464003578,0.8138811589458177,0.8120338140228742,24.10144927536232,30.529411764705884,24.589285714285715,63.69999999999999,65.19999999999999,64.0,0,0.6503519397610084,212,212,187,25,False,0.7704575942763452,0.7804878048780488,0.7840212166418035,22.529411764705884,18.32,22.03301886792453,58.0,48.39999999999998,58.0,0,0.6734326403666722,229,229,214,15,True,0.7592785810105828,0.7909641512522507,0.7933034974307973,21.64018691588785,18.466666666666665,21.43231441048035,58.74999999999997,46.29999999999999,57.0,0,0.7042069078408905,227,227,202,25,True,0.7670293635415114,0.7827795056474055,0.7800430963036632,22.50990099009901,21.28,22.374449339207047,65.94999999999999,55.99999999999997,65.0,22.637376237623762,808,4,812,25.75609756097561,17.804878048780488,27936.7,41,9,50,241.52,307.15,47535.0,40826.0,"[41426.0, 47535.0]","[41426.0, 47459.0]","[40826.0, 52115.0]",True,False,delivery_complete,delivery_complete,6709,6109.0,6033.0,6709.0,600.0,300.0,6.4,13,4,0.6075,600.0,delivery
K100_1,100,primary,42,1.71,2.4061,56.73,1.9,51,0.854,1.027,17,11.111,0,0.0,7,0.814,7,1.0,0.0,5,0.894,6,1.053,0.0,7,0.806,10,0.999,0.0,4,0.765,4,0.904,69.69999999999999,58.24999999999997,5,5,6,6.26,95,5,0,13,3.23,0.0,0.0,12,3.883,1.932,6,0.727,123.0,0.36,EV3|EV4,0.0,0.0,0.785,0.952,0.16,43.04,delivery,0.0,557.7,55768.3,55768.3,55550.6,24.67488151658768,27.535714285714285,100,100,0,0.0,1664.53,2508.75,0,0.8144540455616653,274,274,224,50,False,0.8834170854271357,0.8911233307148468,0.8935525055857007,23.651785714285715,28.12,24.467153284671532,65.69999999999999,55.099999999999994,63.349999999999966,0,0.8945797329143755,275,276,229,47,False,0.8611629576453697,0.8840534171249018,0.8833386530481966,23.842794759825328,28.829787234042552,24.692028985507246,67.59999999999997,61.09999999999999,64.25,0,0.8053417124901807,253,253,218,35,True,0.8278535534816942,0.8537313432835821,0.8573252473667411,25.81651376146789,27.82857142857143,26.09486166007905,72.0,70.69999999999997,72.0,0,0.7646504320502749,251,252,216,36,True,0.8354630294328786,0.8581304006284368,0.8558889243536546,23.24074074074074,24.75,23.456349206349206,69.25,73.0,70.89999999999998,24.105084745762714,885,5,890,31.80952380952381,23.261904761904763,55768.3,84,16,100,247.19,314.0,47765.0,40800.0,"[41400.0, 47765.0]","[41400.0, 47666.0]","[40800.0, 52100.0]",True,False,delivery_complete,delivery_complete,6965,6365.0,6266.0,6965.0,600.0,300.0,6.2,7,3,0.5966666666666667,600.0,delivery
K100_1,100,primary,7,1.7,2.3617,56.73,1.9,52,0.787,0.979,17,11.111,0,0.0,5,0.797,6,0.976,0.0,5,0.777,5,0.982,0.0,5,0.782,5,0.946,0.0,5,0.828,6,1.069,62.0,62.79999999999998,6,6,5,5.93,94,6,0,13,3.272,0.0,0.0,11,3.854,1.949,6,0.701,123.6,0.46,EV3|EV4,0.0,0.0,0.805,1.008,0.11,43.8,delivery,0.0,553.1,55308.9,55308.9,55166.7,25.037644787644787,24.97752808988764,100,100,0,0.0,1664.43,2516.35,0,0.7967197602901751,254,256,217,39,False,0.8340296787206455,0.8445040214477212,0.84289356277884,24.82488479262673,27.615384615384617,25.25,68.59999999999997,64.30000000000001,67.25,0,0.7766913736003785,265,265,220,45,False,0.8227921048840224,0.8467118750985649,0.8451242829827916,24.945454545454545,20.266666666666666,24.150943396226417,65.09999999999997,56.39999999999998,62.599999999999966,0,0.7822110077274878,257,257,202,55,True,0.820919175911252,0.8607475161646428,0.8604206500956023,24.326732673267326,21.87272727272727,23.801556420233464,65.94999999999999,65.29999999999997,66.19999999999999,0,0.8277874152341902,258,258,219,39,True,0.8410891802333957,0.8762024917205488,0.875717017208413,26.04566210045662,32.15384615384615,26.968992248062015,63.0,62.000000000000014,63.0,24.83859649122807,855,8,863,28.325842696629213,21.629213483146067,55308.9,89,11,100,244.44,309.2,47741.0,40800.0,"[41400.0, 47741.0]","[41400.0, 47676.0]","[40800.0, 52100.0]",True,False,delivery_complete,delivery_complete,6941,6341.0,6276.0,6941.0,600.0,300.0,5.6,8,3,0.5683333333333334,600.0,delivery
K100_1,100,primary,2026,1.64,2.3727,56.73,1.9,51,0.784,0.996,14,11.111,0,0.0,6,0.837,7,0.994,0.0,5,0.731,5,0.999,0.0,4,0.719,6,0.806,0.0,6,0.79,5,0.871,81.55000000000003,61.95,5,5,6,5.99,95,5,0,13,2.972,0.0,0.0,11,3.88,1.943,5,0.698,123.0,0.44,EV3|EV4,0.0,0.0,0.755,0.838,0.18,43.08,delivery,0.0,554.3,55425.6,55425.6,55336.7,24.086258776328986,26.932926829268293,100,100,0,0.0,1664.35,2500.8,0,0.8373893805309734,260,261,217,44,False,0.8309757505773672,0.8380214917825537,0.8390329250835057,24.571428571428573,27.84090909090909,25.122605363984675,70.39999999999998,98.40000000000003,72.0,0,0.7311946902654868,244,245,206,39,False,0.7992205542725174,0.8116308470290771,0.8104024176872913,25.558252427184467,32.76923076923077,26.706122448979592,69.5,82.1,72.79999999999998,0,0.7195006321112516,235,237,197,40,True,0.7745381062355658,0.8065739570164349,0.805312549705742,20.781725888324875,27.625,21.936708860759495,64.0,61.05,62.39999999999998,0,0.7891908975979772,253,254,213,41,True,0.7915704387990762,0.809102402022756,0.8097661841895976,23.03286384976526,19.73170731707317,22.5,68.0,44.0,66.04999999999998,23.584541062801932,828,6,834,31.085365853658537,22.78048780487805,55425.6,82,18,100,245.55,327.1,47728.0,40800.0,"[41400.0, 47728.0]","[41400.0, 47687.0]","[40800.0, 52100.0]",True,False,delivery_complete,delivery_complete,6928,6328.0,6287.0,6928.0,600.0,300.0,6.4,13,4,0.6075,600.0,delivery
K100_2,100,primary,42,1.02,2.8284,57.76,1.9,48,0.825,1.054,17,11.111,0,0.0,5,0.833,6,1.085,0.0,7,0.818,9,1.023,0.0,6,0.818,5,1.06,0.0,5,0.825,6,0.984,70.85,73.69999999999999,5,5,4,6.26,95,5,0,15,3.396,0.0,0.0,12,3.801,1.847,7,0.755,123.0,0.36,EV3|EV4,0.0,0.0,0.822,1.022,0.16,43.14,delivery,0.0,570.7,57072.2,57072.2,56992.2,26.044871794871796,29.922619047619047,100,100,0,0.0,1603.15,2458.3499999999995,0,0.833108006609584,284,285,239,46,False,0.8765330026181618,0.8832807570977917,0.8826283987915408,25.661087866108787,29.804347826086957,26.32982456140351,65.1,71.75,69.0,0,0.8177857893946222,270,271,237,34,False,0.8262367369436406,0.8449752140603876,0.8441087613293051,24.658227848101266,31.352941176470587,25.498154981549817,67.59999999999997,72.44999999999999,70.0,0,0.8180862250262881,265,265,219,46,True,0.8416701116163704,0.8676581042511642,0.8681268882175227,26.91780821917808,30.195652173913043,27.486792452830187,67.0,72.25,67.0,0,0.8252966801862701,270,271,229,42,True,0.8331266363511093,0.8545891542736969,0.8537764350453172,24.200873362445414,28.595238095238095,24.881918819188193,70.39999999999998,68.29999999999994,70.5,25.367791077257888,919,10,929,32.857142857142854,26.988095238095237,57072.2,84,16,100,253.08,318.29999999999995,48131.0,40874.0,"[41474.0, 48131.0]","[41474.0, 48094.0]","[40874.0, 52185.0]",True,False,delivery_complete,delivery_complete,7257,6657.0,6620.0,7257.0,600.0,300.0,6.2,7,3,0.5966666666666667,600.0,delivery
