scenario,K,raw_ia_cv2,raw_peak10,raw_ia_mean_sec,door_ia_mean_sec,door_ia_cv2,door_peak10,riders_in_building_max,riders_in_building_mean,riders_waiting_ev_max,backlog_max,service_time_mean_sec,ca2_amplification,t_lobby,service,robot_cycle_est_sec,rho_counter_c1,rho_robot_c1,rho_counter_c2,rho_robot_c2,rho_counter_c3,rho_robot_c3,rho_counter_c4,rho_robot_c4,rho_counter_c5,rho_robot_c5,rho_counter_c6,rho_robot_c6,rho_counter_c8,rho_robot_c8,min_robots_rho_lt_1,min_robots_peak10
K50_1,50,1.0113,1.56,68.82,97.22,1.0232,1.76,9,2.1693,5,28,125.6,1.012,249.8667,125.6,214.2667,0.6172,2.2039,0.3086,1.102,0.2057,0.7346,0.1543,0.551,0.1234,0.4408,0.1029,0.3673,0.0771,0.2755,3,4
K50_2,50,0.8872,1.2,71.2,98.02,1.1368,1.92,8,2.0127,4,24,128.4,1.281,244.9333,128.4,206.5333,0.6121,2.1071,0.3061,1.0535,0.204,0.7024,0.153,0.5268,0.1224,0.4214,0.102,0.3512,0.0765,0.2634,3,5
K100_1,100,1.1277,1.26,35.35,56.73,2.3802,1.9,12,3.8723,6,52,123.2,2.111,245.7267,123.2,212.5267,1.0576,3.7463,0.5288,1.8731,0.3525,1.2488,0.2644,0.9366,0.2115,0.7493,0.1763,0.6244,0.1322,0.4683,4,8
K100_2,100,0.8245,1.2,35.46,57.76,2.7613,1.8667,12,3.7297,7,48,122.6,3.349,247.8667,122.6,215.2667,1.0388,3.7269,0.5194,1.8635,0.3463,1.2423,0.2597,0.9317,0.2078,0.7454,0.1731,0.6212,0.1298,0.4659,4,7
K100_3,100,0.9814,1.44,35.2,44.78,0.8668,1.76,12,4.6243,5,44,121.4,0.883,248.6233,121.4,217.2233,1.3399,4.8509,0.6699,2.4255,0.4466,1.617,0.335,1.2127,0.268,0.9702,0.2233,0.8085,0.1675,0.6064,5,9
K100_4,100,1.9153,1.8,36.02,54.91,2.124,2.5667,15,3.9727,7,52,123.2,1.109,247.43,123.2,214.23,1.0927,3.9015,0.5463,1.9507,0.3642,1.3005,0.2732,0.9754,0.2185,0.7803,0.1821,0.6502,0.1366,0.4877,4,11
K100_5,100,0.8224,1.2,35.74,51.24,1.3832,1.8,14,4.2347,8,45,120.0,1.682,246.5633,120.0,216.5633,1.171,4.2265,0.5855,2.1132,0.3903,1.4088,0.2927,1.0566,0.2342,0.8453,0.1952,0.7044,0.1464,0.5283,5,8
K100_6,100,1.9426,1.86,35.88,46.51,1.8889,1.84,16,4.5767,7,52,122.8,0.972,249.8333,122.8,217.0333,1.29,4.6664,0.645,2.3332,0.43,1.5555,0.3225,1.1666,0.258,0.9333,0.215,0.7777,0.1613,0.5833,5,9
K100_7,100,0.9169,1.56,35.63,50.35,1.7712,2.04,15,4.2583,6,58,122.8,1.932,249.74,122.8,216.94,1.1917,4.3086,0.5958,2.1543,0.3972,1.4362,0.2979,1.0772,0.2383,0.8617,0.1986,0.7181,0.149,0.5386,5,9
K100_8,100,1.0744,1.32,36.25,50.79,1.8499,2.25,18,4.2337,8,53,126.4,1.722,254.16,126.4,217.76,1.1813,4.2875,0.5907,2.1437,0.3938,1.4292,0.2953,1.0719,0.2363,0.8575,0.1969,0.7146,0.1477,0.5359,5,10
K100_9,100,1.1033,1.32,35.3,48.03,1.3872,1.52,15,4.1343,7,54,125.2,1.257,249.84,125.2,214.64,1.2492,4.4689,0.6246,2.2344,0.4164,1.4896,0.3123,1.1172,0.2498,0.8938,0.2082,0.7448,0.1562,0.5586,5,7
K200_1,200,0.8788,1.11,17.99,26.62,3.3434,1.485,24,8.511,9,96,123.3,3.805,264.8633,123.3,231.5633,2.2539,8.6988,1.127,4.3494,0.7513,2.8996,0.5635,2.1747,0.4508,1.7398,0.3757,1.4498,0.2817,1.0874,9,13
K200_2,200,1.2555,1.23,17.9,30.6,5.6943,2.035,27,7.7103,11,99,120.8,4.535,261.2183,120.8,230.4183,1.9608,7.53,0.9804,3.765,0.6536,2.51,0.4902,1.8825,0.3922,1.506,0.3268,1.255,0.2451,0.9413,8,16
K200_3,200,1.0208,1.38,17.83,27.9,2.5794,1.85,22,7.797,10,105,120.0,2.527,261.3717,120.0,231.3717,2.1505,8.2929,1.0753,4.1464,0.7168,2.7643,0.5376,2.0732,0.4301,1.6586,0.3584,1.3821,0.2688,1.0366,9,16
K200_4,200,1.0214,1.95,17.82,23.01,1.8237,1.9467,30,9.534,13,111,124.7,1.785,270.17,124.7,235.47,2.6076,10.2334,1.3038,5.1167,0.8692,3.4111,0.6519,2.5583,0.5215,2.0467,0.4346,1.7056,0.3259,1.2792,11,20
K200_5,200,1.2721,1.83,17.66,24.04,1.2528,2.0533,34,8.9347,14,126,125.8,0.985,266.79,125.8,230.99,2.4958,9.6086,1.2479,4.8043,0.8319,3.2029,0.624,2.4021,0.4992,1.9217,0.416,1.6014,0.312,1.2011,10,20
K200_6,200,1.9691,2.01,18.03,27.18,5.874,2.5,33,8.627,15,123,126.6,2.983,275.7917,126.6,239.1917,2.2075,8.8003,1.1038,4.4001,0.7358,2.9334,0.5519,2.2001,0.4415,1.7601,0.3679,1.4667,0.2759,1.1,9,23
K200_7,200,0.9292,1.47,17.63,29.77,2.7489,2.35,26,7.7917,13,121,124.7,2.958,264.825,124.7,230.125,2.0155,7.7301,1.0077,3.865,0.6718,2.5767,0.5039,1.9325,0.4031,1.546,0.3359,1.2883,0.2519,0.9663,8,19
K200_8,200,0.9231,1.26,17.79,26.89,2.4566,1.71,23,8.1,11,96,120.0,2.661,257.7633,120.0,227.7633,2.2313,8.4702,1.1157,4.2351,0.7438,2.8234,0.5578,2.1175,0.4463,1.694,0.3719,1.4117,0.2789,1.0588,9,15
