K,scenario,tau_min,peak_floor_occupancy,busiest_floor_deliveries
50,K50_1,5,2.667,8.667
50,K50_1,10,3.667,8.667
50,K50_1,15,4.667,8.667
50,K50_1,30,6.667,8.667
50,K50_2,5,3.0,8.667
50,K50_2,10,4.0,8.667
50,K50_2,15,4.667,8.667
50,K50_2,30,5.333,8.667
100,K100_1,5,5.0,16.0
100,K100_1,10,6.333,16.0
100,K100_1,15,8.0,16.0
100,K100_1,30,11.333,16.0
100,K100_2,5,4.333,16.0
100,K100_2,10,5.667,16.0
100,K100_2,15,8.0,16.0
100,K100_2,30,10.333,16.0
100,K100_3,5,4.0,16.0
100,K100_3,10,5.667,16.0
100,K100_3,15,7.333,16.0
100,K100_3,30,10.0,16.0
100,K100_4,5,5.0,16.0
100,K100_4,10,6.0,16.0
100,K100_4,15,7.667,16.0
100,K100_4,30,9.667,16.0
100,K100_5,5,5.0,16.0
100,K100_5,10,6.0,16.0
100,K100_5,15,7.0,16.0
100,K100_5,30,9.333,16.0
100,K100_6,5,4.667,16.0
100,K100_6,10,7.0,16.0
100,K100_6,15,8.0,16.0
100,K100_6,30,11.667,16.0
100,K100_7,5,4.0,16.0
100,K100_7,10,6.333,16.0
100,K100_7,15,7.333,16.0
100,K100_7,30,11.333,16.0
100,K100_8,5,4.667,16.0
100,K100_8,10,6.667,16.0
100,K100_8,15,7.667,16.0
100,K100_8,30,9.667,16.0
100,K100_9,5,4.667,16.0
100,K100_9,10,5.667,16.0
100,K100_9,15,6.667,16.0
100,K100_9,30,10.0,16.0
200,K200_1,5,6.667,28.667
200,K200_1,10,9.333,28.667
200,K200_1,15,12.0,28.667
200,K200_1,30,18.0,28.667
200,K200_2,5,6.667,28.667
200,K200_2,10,9.667,28.667
200,K200_2,15,12.333,28.667
200,K200_2,30,18.667,28.667
200,K200_3,5,6.333,28.667
200,K200_3,10,8.333,28.667
200,K200_3,15,11.0,28.667
200,K200_3,30,17.0,28.667
200,K200_4,5,6.333,28.667
200,K200_4,10,9.333,28.667
200,K200_4,15,12.667,28.667
200,K200_4,30,19.333,28.667
200,K200_5,5,8.667,28.667
200,K200_5,10,12.667,28.667
200,K200_5,15,14.667,28.667
200,K200_5,30,19.333,28.667
200,K200_6,5,8.0,28.667
200,K200_6,10,11.667,28.667
200,K200_6,15,13.333,28.667
200,K200_6,30,22.667,28.667
200,K200_7,5,6.667,28.667
200,K200_7,10,10.0,28.667
200,K200_7,15,12.333,28.667
200,K200_7,30,18.667,28.667
200,K200_8,5,6.0,28.667
200,K200_8,10,8.667,28.667
200,K200_8,15,11.0,28.667
200,K200_8,30,17.0,28.667
200,K200_9,5,7.0,28.667
200,K200_9,10,11.0,28.667
200,K200_9,15,13.667,28.667
200,K200_9,30,21.0,28.667
300,K300_1,5,9.667,41.667
300,K300_1,10,13.667,41.667
300,K300_1,15,18.0,41.667
300,K300_1,30,28.0,41.667
300,K300_2,5,8.0,41.667
300,K300_2,10,11.667,41.667
300,K300_2,15,16.0,41.667
300,K300_2,30,23.667,41.667
300,K300_3,5,10.0,41.667
300,K300_3,10,14.0,41.667
300,K300_3,15,17.667,41.667
300,K300_3,30,24.667,41.667
300,K300_4,5,10.667,41.667
300,K300_4,10,15.0,41.667
300,K300_4,15,18.0,41.667
300,K300_4,30,28.0,41.667
300,K300_5,5,9.333,41.667
300,K300_5,10,13.333,41.667
300,K300_5,15,16.333,41.667
300,K300_5,30,26.667,41.667
300,K300_6,5,9.0,41.667
300,K300_6,10,13.333,41.667
300,K300_6,15,17.0,41.667
300,K300_6,30,25.0,41.667
300,K300_7,5,9.333,41.667
300,K300_7,10,14.0,41.667
300,K300_7,15,18.0,41.667
300,K300_7,30,29.0,41.667
300,K300_8,5,10.0,41.667
300,K300_8,10,15.333,41.667
300,K300_8,15,21.0,41.667
300,K300_8,30,31.333,41.667
