K,tau_min,mean_peak_occupancy,max_peak_occupancy,floor_burst10_max,deliv_per_floor_max,deliv_per_floor_mean
50,5,2.833,3.0,4,10,5.556
50,10,3.833,4.0,4,10,5.556
50,15,4.667,4.667,4,10,5.556
50,30,6.0,6.667,4,10,5.556
100,5,4.593,5.0,8,17,11.111
100,10,6.148,7.0,8,17,11.111
100,15,7.519,8.0,8,17,11.111
100,30,10.37,11.667,8,17,11.111
200,5,6.926,8.667,12,30,22.222
200,10,10.074,12.667,12,30,22.222
200,15,12.556,14.667,12,30,22.222
200,30,19.074,22.667,12,30,22.222
300,5,9.5,10.667,14,43,33.333
300,10,13.792,15.333,14,43,33.333
300,15,17.75,21.0,14,43,33.333
300,30,27.042,31.333,14,43,33.333
