scenario,K,t_lobby_mean_sec,h1_prize_ub_sec_per_order,h1_prize_ub_krw_per_day,h1_prize_ub_krw_per_year,h1_robot_rides,shared_person_boardings_now,h1_shared_trip_ratio,shared_util_delivery,dedicated_util_delivery,shared_pax_mean,shared_pax_max,denial_exposure_all_frac,denial_exposure_any_frac,ped_wait_shared_sec,ped_wait_dedicated_sec,ped_wait_gap_sec
K50_1,50,249.9,189.9,21793.0,5448000.0,100,428.0,0.233,0.8083,0.8036,0.699,7,0.0,0.0,21.89,21.05,0.834
K50_2,50,244.9,184.9,21433.0,5358000.0,100,459.0,0.218,0.8121,0.8188,0.713,7,0.0,0.0,21.61,22.41,-0.802
K100_1,100,245.7,185.7,41990.0,10497000.0,200,504.0,0.397,0.8441,0.8527,0.781,7,0.0,0.0,23.87,24.57,-0.692
K100_2,100,247.9,187.9,42348.0,10587000.0,200,521.0,0.384,0.8221,0.8353,0.779,6,0.0,0.0,23.64,24.94,-1.304
K100_3,100,248.6,188.6,57635.0,14409000.0,200,431.0,0.464,0.8504,0.8801,0.797,7,0.0,0.0,24.55,25.42,-0.868
K100_4,100,247.4,187.4,57270.0,14318000.0,200,491.0,0.407,0.8438,0.8609,0.783,6,0.0,0.0,24.94,24.62,0.319
K100_5,100,246.6,186.6,57005.0,14251000.0,200,476.0,0.42,0.8468,0.8567,0.806,6,0.0,0.0,23.2,25.8,-2.596
K100_6,100,249.8,189.8,58005.0,14501000.0,200,451.0,0.444,0.8618,0.8599,0.803,6,0.0,0.0,23.99,24.23,-0.235
K100_7,100,249.7,189.7,57976.0,14494000.0,200,477.0,0.42,0.858,0.8584,0.799,8,0.0,0.0,25.12,24.23,0.888
K100_8,100,254.2,194.2,59327.0,14832000.0,200,491.0,0.408,0.8464,0.8546,0.808,7,0.0,0.0,23.97,24.89,-0.918
K100_9,100,249.8,189.8,61928.0,15482000.0,200,492.0,0.406,0.849,0.8579,0.807,8,0.0,0.0,25.45,24.98,0.47
K200_1,200,264.9,204.9,92552.0,23138000.0,400,579.0,0.69,0.902,0.9045,0.995,10,0.0,0.0,29.41,30.23,-0.812
K200_2,200,261.2,201.2,89727.0,22432000.0,400,620.0,0.646,0.8759,0.8905,0.971,10,0.0,0.0,28.8,29.14,-0.34
K200_3,200,261.4,201.4,100686.0,25171000.0,400,617.0,0.648,0.8901,0.8833,0.982,13,0.0,0.0008,29.36,30.36,-1.008
K200_4,200,270.2,210.2,107349.0,26837000.0,400,560.0,0.715,0.8975,0.9049,1.068,13,0.0,0.00137,29.82,30.73,-0.903
K200_5,200,266.8,206.8,106308.0,26577000.0,400,573.0,0.698,0.897,0.9061,1.03,9,0.0,0.0,29.78,29.93,-0.153
K200_6,200,275.8,215.8,111136.0,27784000.0,400,599.0,0.667,0.8767,0.88,1.024,11,0.0,0.0,30.12,29.11,1.011
K200_7,200,264.8,204.8,104739.0,26185000.0,400,620.0,0.645,0.8749,0.8885,0.988,9,0.0,0.0,29.87,27.99,1.881
K200_8,200,257.8,197.8,98882.0,24720000.0,400,598.0,0.669,0.8958,0.8991,1.007,8,0.0,0.0,29.84,29.19,0.646
K200_9,200,267.4,207.4,93282.0,23320000.0,400,586.0,0.682,0.8946,0.8969,1.028,10,0.0,0.0,29.82,30.08,-0.263
K300_1,300,277.7,217.7,145959.0,36490000.0,600,630.0,0.952,0.924,0.9236,1.309,12,0.0,0.00047,35.14,33.38,1.757
K300_2,300,271.8,211.8,202615.0,50654000.0,600,643.0,0.933,0.9303,0.9415,1.238,11,0.0,0.0,33.18,35.88,-2.703
K300_3,300,279.7,219.7,149083.0,37271000.0,600,661.0,0.908,0.9212,0.9133,1.265,13,0.0,0.0014,35.83,33.19,2.644
K300_4,300,277.2,217.2,206573.0,51643000.0,600,719.0,0.834,0.8936,0.8947,1.166,10,0.0,0.0,32.97,32.56,0.407
K300_5,300,274.7,214.7,144488.0,36122000.0,600,661.0,0.908,0.9255,0.9234,1.253,9,0.0,0.0,34.64,34.15,0.486
K300_6,300,277.6,217.6,211978.0,52995000.0,600,685.0,0.875,0.9122,0.9149,1.224,10,0.0,0.0,33.67,34.12,-0.454
K300_7,300,279.0,219.0,159565.0,39891000.0,600,651.0,0.921,0.9194,0.9178,1.248,15,0.0,0.00177,34.29,32.91,1.374
K300_8,300,282.9,222.9,182327.0,45582000.0,600,670.0,0.895,0.9024,0.9087,1.26,12,0.0,0.00053,32.77,35.11,-2.34
