K,floor,n,share,t_e2e_mean_sec,t_lobby_mean_sec,ev_wait_up_mean_sec,stairs_share,walked_m_mean
50,2,4.667,0.093,1499.423,191.381,,1.0,36.056
50,3,3.333,0.067,1690.667,225.917,16.583,0.333,41.917
50,4,5.0,0.1,1512.759,238.611,25.194,0.0,45.657
50,5,6.0,0.12,1569.546,244.692,19.963,0.0,43.525
50,6,7.0,0.14,1481.343,245.148,23.444,0.0,44.981
50,7,7.667,0.153,1597.578,247.775,19.967,0.0,43.985
50,8,4.667,0.093,1567.097,254.833,19.417,0.0,46.028
50,9,5.667,0.113,1644.242,264.113,19.46,0.0,43.504
50,10,6.0,0.12,1846.667,282.059,22.79,0.0,45.748
100,2,10.667,0.107,1484.651,192.559,25.389,0.931,37.867
100,3,8.667,0.087,1436.552,230.531,23.567,0.533,42.548
100,4,12.0,0.12,1501.658,243.018,25.205,0.022,45.798
100,5,10.667,0.107,1546.251,244.651,23.503,0.0,43.666
100,6,13.667,0.137,1509.288,253.371,25.367,0.0,42.288
100,7,12.333,0.123,1505.405,256.364,22.979,0.0,45.141
100,8,10.0,0.1,1532.675,266.772,24.107,0.0,44.567
100,9,11.0,0.11,1521.001,269.887,23.918,0.0,43.725
100,10,11.0,0.11,1539.403,277.583,23.578,0.0,43.255
200,2,23.333,0.117,1518.848,196.194,34.75,0.88,37.857
200,3,18.0,0.09,1519.912,243.966,35.147,0.464,42.062
200,4,25.0,0.125,1552.679,258.318,31.83,0.033,42.735
200,5,21.0,0.105,1566.598,267.65,31.446,0.0,43.703
200,6,25.333,0.127,1566.07,270.498,31.658,0.0,42.286
200,7,23.333,0.117,1551.052,278.375,31.018,0.0,43.281
200,8,21.667,0.108,1542.931,284.214,30.82,0.0,42.759
200,9,20.667,0.103,1567.913,291.769,30.356,0.0,45.387
200,10,21.667,0.108,1592.148,301.052,32.824,0.0,42.091
300,2,35.0,0.117,1461.941,196.967,46.365,0.922,38.77
300,3,30.667,0.102,1491.307,244.886,37.148,0.508,40.366
300,4,35.667,0.119,1521.857,272.159,36.476,0.041,43.583
300,5,31.667,0.106,1511.408,278.682,37.089,0.0,43.319
300,6,35.0,0.117,1526.132,283.038,35.732,0.0,42.518
300,7,36.333,0.121,1487.144,292.488,35.957,0.0,44.307
300,8,30.667,0.102,1533.04,303.98,37.231,0.0,44.089
300,9,32.333,0.108,1517.108,311.078,36.166,0.0,45.512
300,10,32.667,0.109,1538.411,319.13,37.359,0.0,43.096
