K,rider_type,n,share,t_lobby_mean_sec,t_e2e_mean_sec,ev_wait_up_mean_sec,stairs_share,walked_m_mean,w_R_krw_per_h,dist_m_mean
50,BIKE,44.0,0.88,239.778,1545.085,20.906,0.121,43.963,8000.0,1941.898
50,CAR,5.833,0.117,311.03,1920.13,22.459,0.071,44.048,10000.0,2422.239
50,WALK,1.0,0.02,179.0,1632.0,,1.0,28.0,6500.0,374.0
100,BIKE,94.667,0.947,245.363,1492.798,23.89,0.152,43.381,10444.444,1621.762
100,CAR,5.75,0.058,316.217,1788.334,26.851,0.099,44.377,10750.0,1807.167
100,WALK,2.0,0.02,269.833,1869.0,45.167,0.167,48.0,5500.0,423.0
200,BIKE,188.481,0.942,261.979,1546.859,31.349,0.149,42.496,8666.667,1650.216
200,CAR,13.81,0.069,326.359,1656.55,34.522,0.167,41.978,10571.429,1830.084
200,WALK,1.75,0.009,290.444,1840.158,47.614,0.121,44.122,6666.667,229.508
300,BIKE,279.625,0.932,275.582,1505.58,36.452,0.165,42.903,9875.0,1505.1
300,CAR,9.905,0.033,342.543,1732.532,40.765,0.177,41.937,10142.857,1748.059
300,WALK,13.381,0.045,282.37,1419.858,39.802,0.188,40.46,5642.857,266.41
