scenario,K,tier,n_orders,ord_span_sec,orders_per_h,ia_mean_sec,ia_cv2,peak10_over_mean,cook_mean_sec,cook_p95_sec,vol_mean,vol_max,lead_mean_sec,lead_min_sec,pool_bike,pool_walk,pool_car
K50_1,50,primary,50,3372.0,53.38,68.82,1.0113,1.56,1032.0,1800.0,26.0,56,2864.7,1802.0,10,15,50
K50_2,50,primary,50,3489.0,51.59,71.2,0.8872,1.2,1008.0,1800.0,30.7,100,2875.8,2078.0,10,15,50
K100_1,100,primary,100,3500.0,102.86,35.35,1.1277,1.26,1095.0,1800.0,32.0,100,2953.7,1823.0,20,30,100
K100_2,100,primary,100,3511.0,102.53,35.46,0.8245,1.2,1044.0,1800.0,29.2,100,2883.2,1939.0,20,30,100
K100_3,100,primary,100,3485.0,103.3,35.2,0.9814,1.44,873.0,1500.0,24.3,90,2565.4,1861.0,20,30,100
K100_4,100,primary,100,3566.0,100.95,36.02,1.9153,1.8,921.0,1800.0,26.4,80,3195.0,2348.0,20,30,100
K100_5,100,primary,100,3538.0,101.75,35.74,0.8224,1.2,972.0,1800.0,27.5,77,2625.9,1800.0,20,30,100
K100_6,100,primary,100,3552.0,101.35,35.88,1.9426,1.86,894.0,1800.0,26.8,100,3179.9,2361.0,20,30,100
K100_7,100,primary,100,3527.0,102.07,35.63,0.9169,1.56,1176.0,1815.0,27.9,66,2945.9,1821.0,20,30,100
K100_8,100,primary,100,3589.0,100.31,36.25,1.0744,1.32,1050.0,1815.0,29.2,100,4098.6,3049.0,20,30,100
K100_9,100,primary,100,3495.0,103.0,35.3,1.1033,1.32,1095.0,2100.0,26.2,73,4136.0,3056.0,20,30,100
K200_1,200,primary,200,3580.0,201.12,17.99,0.8788,1.11,1003.5,1800.0,29.6,100,2886.1,1790.0,40,60,200
K200_2,200,primary,200,3562.0,202.13,17.9,1.2555,1.23,1077.0,1800.0,32.1,100,2918.1,1823.0,40,60,200
K200_3,200,primary,200,3549.0,202.87,17.83,1.0208,1.38,1014.0,1800.0,25.2,85,2715.0,1758.0,40,60,200
K200_4,200,primary,200,3546.0,203.05,17.82,1.0214,1.95,1014.0,1800.0,27.8,100,3331.6,2309.0,40,60,200
K200_5,200,primary,200,3514.0,204.89,17.66,1.2721,1.83,1062.0,1800.0,31.8,100,2787.7,1810.0,40,60,200
K200_6,200,primary,200,3587.0,200.72,18.03,1.9691,2.01,1057.5,1800.0,27.7,80,3351.5,2292.0,40,60,200
K200_7,200,primary,200,3509.0,205.19,17.63,0.9292,1.47,1095.0,1800.0,29.0,100,2962.7,1869.0,40,60,200
K200_8,200,primary,200,3540.0,203.39,17.79,0.9231,1.26,1023.0,1800.0,25.2,89,4068.4,2935.0,40,60,200
K200_9,200,primary,200,3562.0,202.13,17.9,2.2636,2.22,1044.0,1800.0,27.4,90,3308.1,2313.0,40,60,200
K300_1,300,extreme,300,3594.0,300.5,12.02,1.1761,1.52,968.0,1800.0,23.2,81,2613.3,1744.0,60,90,300
K300_2,300,extreme,300,3583.0,301.42,11.98,1.0245,1.18,913.0,1800.0,25.5,90,3148.8,2343.0,60,90,300
K300_3,300,extreme,300,3587.0,301.09,12.0,1.1012,1.62,1062.0,1800.0,29.6,100,2773.0,1810.0,60,90,300
K300_4,300,extreme,300,3596.0,300.33,12.03,1.2282,1.76,1117.0,1800.0,30.4,100,3375.5,2339.0,60,90,300
K300_5,300,extreme,300,3563.0,303.12,11.92,0.895,1.26,1011.0,1800.0,25.0,100,2869.7,1796.0,60,90,300
K300_6,300,extreme,300,3587.0,301.09,12.0,0.9788,1.24,1033.0,1800.0,24.8,100,4138.0,2974.0,60,90,300
K300_7,300,extreme,300,3576.0,302.01,11.96,1.2081,1.36,1033.0,1800.0,25.0,100,2740.9,1760.0,60,90,300
K300_8,300,extreme,300,3585.0,301.26,11.99,1.588,1.42,1080.0,1800.0,27.6,85,3751.3,2478.0,60,60,300
