scenario,K,seed,t_e2e_mean,cook,rider_wait,street,walk,ev_wait,ride,service,in_building,in_building_share
K100_1,100,42,1664.53,1095.0,0.0,387.29,17.23,19.54,22.47,123.0,182.24,0.109
K100_1,100,7,1664.43,1095.0,0.0,388.12,17.54,19.25,20.92,123.6,181.31,0.109
K100_1,100,2026,1664.35,1095.0,0.0,387.77,17.3,18.68,22.6,123.0,181.58,0.109
K100_2,100,42,1603.15,1044.0,0.0,373.16,17.23,22.67,23.09,123.0,185.99,0.116
K100_2,100,7,1594.66,1044.0,0.0,370.8,17.54,18.39,21.53,122.4,179.86,0.113
K100_2,100,2026,1598.22,1044.0,0.0,373.61,17.3,18.53,22.38,122.4,180.61,0.113
K100_3,100,42,1308.74,873.0,0.0,253.01,17.23,20.41,23.29,121.8,182.73,0.14
K100_3,100,7,1306.47,873.0,0.0,252.45,17.54,20.82,21.46,121.2,181.02,0.139
K100_3,100,2026,1306.61,873.0,0.0,251.76,17.3,21.16,22.19,121.2,181.85,0.139
K100_4,100,42,1346.44,921.0,0.0,240.14,17.23,21.69,22.78,123.6,185.3,0.138
K100_4,100,7,1343.38,921.0,0.0,238.95,17.54,20.43,22.46,123.0,183.43,0.137
K100_4,100,2026,1342.18,921.0,0.0,239.72,17.3,19.47,21.69,123.0,181.46,0.135
K100_5,100,42,1371.61,972.0,0.0,219.52,17.23,21.3,21.56,120.0,180.09,0.131
K100_5,100,7,1367.42,972.0,0.0,219.52,17.54,17.59,20.77,120.0,175.9,0.129
K100_5,100,2026,1373.22,972.0,0.0,219.52,17.3,21.89,22.51,120.0,181.7,0.132
K100_6,100,42,1330.2,894.0,0.0,249.33,17.23,23.62,23.02,123.0,186.87,0.14
K100_6,100,7,1326.56,894.0,0.0,248.96,17.54,21.21,21.85,123.0,183.6,0.138
K100_6,100,2026,1322.72,894.0,0.0,247.74,17.3,19.78,21.5,122.4,180.98,0.137
K100_7,100,42,1675.85,1176.0,0.0,317.7,17.23,19.67,22.25,123.0,182.15,0.109
K100_7,100,7,1677.67,1176.0,0.0,316.57,17.54,23.13,21.43,123.0,185.1,0.11
K100_7,100,2026,1673.54,1176.0,0.0,316.29,17.3,19.93,21.62,122.4,181.25,0.108
K100_8,100,42,1621.53,1050.0,0.0,384.07,17.23,20.62,23.01,126.6,187.46,0.116
K100_8,100,7,1621.17,1050.0,0.0,384.04,17.54,21.64,21.95,126.0,187.13,0.115
K100_8,100,2026,1619.33,1050.0,0.0,385.1,17.3,18.67,21.66,126.6,184.23,0.114
K100_9,100,42,1659.76,1095.0,0.0,380.27,17.23,20.1,22.96,124.2,184.49,0.111
K100_9,100,7,1662.75,1095.0,0.0,381.87,17.54,21.23,21.71,125.4,185.88,0.112
K100_9,100,2026,1662.66,1095.0,0.0,382.37,17.3,20.16,21.83,126.0,185.29,0.111
K200_1,200,42,1606.105,1003.5,0.0,409.18,16.89,28.46,23.875,124.2,193.425,0.12
K200_1,200,7,1607.285,1003.5,0.0,409.68,16.85,29.38,23.975,123.9,194.105,0.121
K200_1,200,2026,1598.49,1003.5,0.0,406.635,16.955,25.535,24.065,121.8,188.355,0.118
K200_2,200,42,1634.35,1077.0,0.0,370.735,16.89,25.16,23.665,120.9,186.615,0.114
K200_2,200,7,1637.07,1077.0,0.0,371.13,16.85,27.185,24.005,120.9,188.94,0.115
K200_2,200,2026,1634.855,1077.0,0.0,371.065,16.955,24.97,24.265,120.6,186.79,0.114
K200_3,200,42,1459.02,1014.0,0.0,257.3,16.89,26.925,23.905,120.0,187.72,0.129
K200_3,200,7,1457.91,1014.0,0.0,257.3,16.85,26.83,22.93,120.0,186.61,0.128
K200_3,200,2026,1458.72,1014.0,0.0,257.3,16.955,27.08,23.385,120.0,187.42,0.128
K200_4,200,42,1483.84,1014.0,0.0,277.835,16.89,26.765,23.85,124.5,192.005,0.129
K200_4,200,7,1489.91,1014.0,0.0,277.705,16.85,30.28,25.375,125.7,198.205,0.133
K200_4,200,2026,1484.02,1014.0,0.0,277.515,16.955,27.01,24.64,123.9,192.505,0.13
K200_5,200,42,1539.205,1062.0,0.0,285.445,16.89,25.685,23.785,125.4,191.76,0.125
K200_5,200,7,1536.72,1062.0,0.0,284.245,16.85,25.345,23.18,125.1,190.475,0.124
K200_5,200,2026,1542.985,1062.0,0.0,285.62,16.955,26.85,24.66,126.9,195.365,0.127
K200_6,200,42,1516.61,1057.5,0.0,260.545,16.89,29.09,25.385,127.2,198.565,0.131
K200_6,200,7,1515.49,1057.5,0.0,260.625,16.85,28.22,25.095,127.2,197.365,0.13
K200_6,200,2026,1509.655,1057.5,0.0,257.915,16.955,27.34,24.545,125.4,194.24,0.129
K200_7,200,42,1683.15,1095.0,0.0,397.315,16.89,25.495,24.25,124.2,190.835,0.113
K200_7,200,7,1684.62,1095.0,0.0,397.91,16.85,26.505,23.555,124.8,191.71,0.114
K200_7,200,2026,1682.85,1095.0,0.0,398.285,16.955,23.535,23.975,125.1,189.565,0.113
K200_8,200,42,1584.49,1023.0,0.0,372.83,16.89,27.92,23.85,120.0,188.66,0.119
K200_8,200,7,1582.795,1023.0,0.0,372.83,16.85,27.35,22.765,120.0,186.965,0.118
K200_8,200,2026,1580.53,1023.0,0.0,372.83,16.955,24.28,23.465,120.0,184.7,0.117
K200_9,200,42,1468.025,1044.0,0.0,233.765,16.89,26.625,24.045,122.7,190.26,0.13
K200_9,200,7,1470.375,1044.0,0.0,234.005,16.85,26.725,25.495,123.3,192.37,0.131
K200_9,200,2026,1473.585,1044.0,0.0,234.53,16.955,29.98,24.82,123.3,195.055,0.132
K300_1,300,42,1375.397,968.0,0.0,213.943,17.093,28.747,26.613,121.0,193.453,0.141
K300_1,300,7,1378.7,968.0,0.0,213.62,17.07,32.037,26.973,121.0,197.08,0.143
K300_1,300,2026,1380.803,968.0,0.0,215.227,17.183,31.37,27.023,122.0,197.577,0.143
K300_2,300,42,1326.543,913.0,0.0,217.937,17.093,31.423,27.09,120.0,195.607,0.147
K300_2,300,7,1322.833,913.0,0.0,217.937,17.07,29.097,25.73,120.0,191.897,0.145
K300_2,300,2026,1321.71,913.0,0.0,217.937,17.183,28.5,25.09,120.0,190.773,0.144
K300_3,300,42,1530.323,1062.0,0.0,271.513,17.093,29.203,26.713,123.8,196.81,0.129
K300_3,300,7,1528.757,1062.0,0.0,269.607,17.07,30.64,26.24,123.2,197.15,0.129
K300_3,300,2026,1533.283,1062.0,0.0,271.27,17.183,32.913,26.317,123.6,200.013,0.13
